"StatID","TeamID","PlayerID","SeasonType","Season","Name","Team","Position","Started","GameID","OpponentID","Opponent","Day","DateTime","HomeOrAway","Minutes","Seconds","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlusMinus"
120,9,20000557,3,2015,"Brandon Bass","BOS","F",1,1,12,"CLE","2015-04-19","2015-04-19T15:00:00","AWAY",26,45,3,6,50,50,3,6,50,0,0,0,4,4,100,0,1,1,2,0,0,1,2,10,7.76,62.5,-11
134,12,20000571,3,2015,"LeBron James","CLE","F",1,1,9,"BOS","2015-04-19","2015-04-19T15:00:00","HOME",41,55,8,18,44.4,44.4,7,15,46.7,1,3,33.3,3,4,75,0,6,6,7,2,1,5,2,20,19.76,50,3
149,8,20000586,3,2015,"Joe Johnson","BKN","F",1,2,3,"ATL","2015-04-19","2015-04-19T17:30:00","AWAY",41,49,6,17,35.3,35.3,6,11,54.5,0,6,0,5,8,62.5,0,6,6,6,2,0,0,3,17,20.52,41.5,-4
165,3,20000602,3,2015,"Paul Millsap","ATL","F",1,2,8,"BKN","2015-04-19","2015-04-19T17:30:00","HOME",32,45,2,11,18.2,18.2,2,10,20,0,1,0,2,2,100,0,7,7,2,2,1,0,4,6,11.88,25,-2
196,21,20000633,3,2015,"Marc Gasol","MEM","C",1,3,19,"POR","2015-04-19","2015-04-19T20:00:00","HOME",39,15,7,16,43.8,43.8,7,16,43.8,0,0,0,1,3,33.3,2,9,11,7,1,3,1,3,15,17.32,42.9,15
197,21,20000634,3,2015,"Courtney Lee","MEM","G",1,3,19,"POR","2015-04-19","2015-04-19T20:00:00","HOME",29,27,2,5,40,60,0,3,0,2,2,100,3,3,100,0,3,3,2,0,0,1,2,9,6.32,69.2,20
198,21,20000635,3,2015,"Mike Conley","MEM","G",1,3,19,"POR","2015-04-19","2015-04-19T20:00:00","HOME",23,48,6,11,54.5,54.5,6,9,66.7,0,2,0,4,5,80,0,1,1,1,1,0,2,0,16,13.2,61.5,12
210,24,20000647,3,2015,"Tim Duncan","SA","F",1,4,28,"LAC","2015-04-19","2015-04-19T22:30:00","AWAY",30,13,4,10,40,40,4,10,40,0,0,0,3,5,60,4,7,11,4,1,2,1,4,11,12.2,45.8,0
212,24,20000649,3,2015,"Tony Parker","SA","G",1,4,28,"LAC","2015-04-19","2015-04-19T22:30:00","AWAY",28,38,4,11,36.4,36.4,4,9,44.4,0,2,0,2,2,100,0,2,2,1,0,0,2,1,10,11.88,41.7,-12
214,24,20000651,3,2015,"Boris Diaw","SA","FC",0,4,28,"LAC","2015-04-19","2015-04-19T22:30:00","AWAY",28,18,2,12,16.7,16.7,2,7,28.6,0,5,0,1,2,50,2,4,6,5,0,1,1,2,5,12.88,19.2,-9
